LigandID,name,nHBAcc,nHBDon,Lipinski,SLogP,MW,pIC50,MW_violent,LogP_violent,NumHDonors_violent,NumHAcceptors_violent,Ro5_violent,SLogP_violent,nHBDon_violent,nHBAcc_violent,predicted_pic50,Residual,StdResidual
CHEMBL3641122,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4ncnc5cnc(NC6CCOC6)nc45)c3)cc(C(F)(F)F)c2)cn1,10,3,0,5.437840000000004,589.2161557320007,9.0,Violent,1.0,0.0,0.0,2,Violent,Non-violent,Non-violent,8.695139338349959,0.3048606616500411,0.84
CHEMBL3980367,CS(=O)(=O)c1cccc(N2C(=O)c3ccccc3C2(O)c2ccc3c(c2)NC(=O)CO3)c1,6,2,1,2.2748,450.0885572960004,5.0,Non-violent,0.0,0.0,0.0,0,Non-violent,Non-violent,Non-violent,5.7745364948409295,-0.7745364948409295,-2.13
CHEMBL3971265,Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1-c1cc(C(C)C)nc(N2CCOCC2)n1,5,1,0,5.683120000000005,484.2086107640008,8.25,Non-violent,1.0,0.0,0.0,1,Violent,Non-violent,Non-violent,8.702676047565738,-0.4526760475657383,-1.24
CHEMBL599860,O=c1[nH]c2cccc(Oc3ccc(NS(=O)(=O)c4ccccc4)cc3)c2[nH]1,4,3,1,3.449300000000001,381.0783269600004,6.07,Non-violent,0.0,0.0,0.0,0,Non-violent,Non-violent,Non-violent,5.501855427742133,0.5681445722578671,1.56
CHEMBL3932596,O=C1CCc2c(Oc3ccc4c(c3)C3C(O4)C3c3nc(C(F)(F)F)c[nH]3)ccnc2N1,5,2,1,4.142500000000002,428.1096250000005,8.22,Non-violent,0.0,0.0,0.0,0,Non-violent,Non-violent,Non-violent,7.88904235827372,0.3309576417262807,0.91
CHEMBL1081817,O=C(Nc1cccc(-c2ccnc3c(-c4ccoc4)cnn23)c1)c1cccc(C(F)(F)F)c1,5,1,0,5.927400000000004,448.1147103800005,6.49,Non-violent,1.0,0.0,0.0,1,Violent,Non-violent,Non-violent,6.355005049930685,0.1349949500693155,0.37
CHEMBL3356117,CC(=O)c1ccc(N2CCN(C(=O)CN3CC[C@@H](C(=O)Nc4ccc(O)c(Cl)c4)C3)CC2)cc1,6,2,1,2.857400000000001,484.1877330880008,4.52,Non-violent,0.0,0.0,0.0,0,Non-violent,Non-violent,Non-violent,5.464778959702105,-0.9447789597021057,-2.59
CHEMBL2029979,COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(F)(F)F)no4)c3)c2cc1OC,8,2,0,5.090100000000002,475.1103532720004,5.65,Non-violent,1.0,0.0,0.0,1,Violent,Non-violent,Non-violent,6.223390190267189,-0.5733901902671885,-1.57
CHEMBL3651703,CCCS(=O)(=O)Nc1c(F)ccc(-c2[nH]c(C(C)(C)C)nc2-c2ccnc(NC[C@H](C)NC(=O)OC)n2)c1F,8,4,0,4.417500000000003,565.228279976001,9.92,Violent,0.0,0.0,0.0,1,Non-violent,Non-violent,Non-violent,9.63666655898956,0.28333344101043956,0.78
CHEMBL1822100,CCCCS(=O)(=O)Nc1ccc(F)c(C(=O)Nc2cnc3[nH]ccc3c2)c1F,4,3,1,3.635200000000001,408.10676787600056,7.4,Non-violent,0.0,0.0,0.0,0,Non-violent,Non-violent,Non-violent,7.563737656246388,-0.16373765624638725,-0.45
CHEMBL3697877,Cc1ccc(C(=O)Nc2ccc(C#N)c(C(F)(F)F)c2)cc1Nc1ncnc2cnc(N3CCCCC3)nc12,8,2,0,5.604900000000004,532.1946920160008,7.25,Violent,1.0,0.0,0.0,2,Violent,Non-violent,Non-violent,7.757523200703421,-0.5075232007034209,-1.39
CHEMBL3689923,CN1CCCN(c2nc(N)c3ncnc(Nc4cc(C(=O)Nc5cccc(C(F)(F)F)c5)ccc4Cl)c3n2)CC1,9,3,0,4.812000000000002,571.1822687600007,8.05,Violent,0.0,0.0,0.0,1,Non-violent,Non-violent,Non-violent,7.92390816777977,0.12609183222023113,0.35
CHEMBL3697874,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1ncnc2cnc(N3CCCCC3)nc12,7,2,0,5.733220000000004,507.1994430480008,8.22,Violent,1.0,0.0,0.0,2,Violent,Non-violent,Non-violent,8.39303759683639,-0.17303759683638908,-0.48
CHEMBL1276176,CN1C[C@@H]2C[C@H]1CN2c1ccc(-c2ccnc3c(-c4cccc5[nH]ncc45)c(-c4ccncc4)nn23)c2ccccc12,7,1,0,6.047500000000005,548.243692896001,9.0,Violent,1.0,0.0,0.0,2,Violent,Non-violent,Non-violent,8.788975883240639,0.2110241167593614,0.58
CHEMBL3407851,CNc1ncc2ccc(Oc3cc(C(=O)c4c(-c5ccccc5)n(C)n(-c5ccccc5)c4=O)ccc3Cl)cc2n1,8,1,0,6.504600000000006,561.1567673080007,7.89,Violent,1.0,0.0,0.0,2,Violent,Non-violent,Non-violent,7.556567814968924,0.33343218503107597,0.92
CHEMBL1964273,CCOC(=O)c1cc2c(-c3cn(CC)nc3-c3cccc(NC(=O)Nc4ccccc4)c3)ccnc2[nH]1,6,3,0,5.934000000000005,494.2066386920008,7.47,Non-violent,1.0,0.0,0.0,1,Violent,Non-violent,Non-violent,7.080847815226772,0.389152184773228,1.07
CHEMBL4204192,CC(=O)Nc1cn2cc(-c3cc(NC(=O)c4cc(C(F)(F)F)ccn4)ccc3C)ccc2n1,5,2,1,4.9342200000000025,453.1412594760005,9.05,Non-violent,0.0,0.0,0.0,0,Non-violent,Non-violent,Non-violent,8.716606389555649,0.333393610444352,0.92
CHEMBL4282468,C[C@@H](NC(=O)[C@H]1CCCCN1C)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1,6,2,0,5.096900000000004,466.2481095800009,6.65,Non-violent,1.0,0.0,0.0,1,Violent,Non-violent,Non-violent,6.638314555567075,0.011685444432925074,0.03
CHEMBL3948255,COC(=O)Nc1nc2cc(C3(O)c4ccccc4C(=O)N3c3cccc(F)c3F)ccc2[nH]1,5,3,1,3.8732000000000015,450.1139614320005,7.0,Non-violent,0.0,0.0,0.0,0,Non-violent,Non-violent,Non-violent,6.948710472403809,0.05128952759619132,0.14
CHEMBL3904984,COC(=O)Nc1nc2cc(C3(O)c4ccccc4C(=O)N3c3cccc(C#N)c3)ccc2[nH]1,6,3,1,3.466680000000001,439.12805402400056,7.0,Non-violent,0.0,0.0,0.0,0,Non-violent,Non-violent,Non-violent,6.93671486691447,0.06328513308552974,0.17
CHEMBL485302,Cn1c(=O)[nH]c2nccc(Oc3ccc(NC(=O)Nc4ccc(Cl)c(C(F)(F)F)c4)cc3)c21,5,3,0,5.370100000000002,477.0815516800004,7.66,Non-violent,1.0,0.0,0.0,1,Violent,Non-violent,Non-violent,7.116322438918231,0.5436775610817692,1.49
CHEMBL3697837,Cc1ccc(C(=O)Nc2ccc(C#N)c(C(F)(F)F)c2)cc1Nc1ncnc2cnc(N3CC[C@H](F)C3)nc12,8,2,0,5.162800000000004,536.1696201400007,7.44,Violent,1.0,0.0,0.0,2,Violent,Non-violent,Non-violent,7.948825057186199,-0.5088250571861987,-1.4
CHEMBL3689932,COc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1ncnc2c(N)nc(N3CCN(CC4CCN(C)CC4)CC3)nc12,11,3,0,4.489100000000004,650.3053050840012,7.92,Violent,0.0,0.0,1.0,2,Non-violent,Non-violent,Violent,8.171359268883794,-0.25135926888379423,-0.69
CHEMBL3641111,Cc1ccc(C(=O)Nc2cc(C(C)(C)C)on2)cc1Nc1ncnc2cnc(N3CCC(N(C)C)CC3)nc12,10,2,0,4.540020000000003,529.2913713600011,8.7,Violent,0.0,0.0,0.0,1,Non-violent,Non-violent,Non-violent,8.716674316387662,-0.016674316387662813,-0.05
CHEMBL1090083,O=C(Nc1cccc(-c2ccnc3cc(-c4ccncc4)nn23)c1)c1ccc(Cl)c(C(F)(F)F)c1,5,1,0,6.382800000000002,493.09172244000047,7.22,Non-violent,1.0,0.0,0.0,1,Violent,Non-violent,Non-violent,6.426623653354053,0.7933763466459469,2.18
CHEMBL3694101,COc1ccc(NC(=O)c2ccc(F)c(Nc3ncnc4cnc(N5CCCC5)nc34)c2)cc1C(F)(F)F,8,2,0,5.182400000000003,527.1692857920007,8.3,Violent,1.0,0.0,0.0,2,Violent,Non-violent,Non-violent,8.60035942084323,-0.300359420843229,-0.82
CHEMBL3814871,CNS(=O)(=O)c1ccc(N(C)C)c(Nc2ncnc3cc(OCCCOC)ccc23)c1,8,2,1,2.7628000000000004,445.1783753440007,6.1,Non-violent,0.0,0.0,0.0,0,Non-violent,Non-violent,Non-violent,6.2437838851922125,-0.14378388519221286,-0.39
CHEMBL3613190,CNS(=O)(=O)c1cccc(Nc2ncnc3[nH]c(-c4ccncc4)cc23)c1,6,3,1,2.6716000000000006,380.10554475200047,9.0,Non-violent,0.0,0.0,0.0,0,Non-violent,Non-violent,Non-violent,8.393476316529949,0.6065236834700514,1.67
CHEMBL3945935,Cc1ccc(NC(=O)c2ccnc(C(C)(F)F)c2)cc1-c1cc(N2CCOCC2)c(=O)n(C)c1,6,1,1,3.9563200000000034,468.1972971320007,9.06,Non-violent,0.0,0.0,0.0,0,Non-violent,Non-violent,Non-violent,8.413273719357584,0.646726280642417,1.78
CHEMBL3715938,O=C(c1cccc(NS(=O)(=O)c2ccc(C(F)(F)F)cc2)c1F)c1c[nH]c2nccnc12,5,2,1,4.147600000000002,464.0566241240004,5.0,Non-violent,0.0,0.0,0.0,0,Non-violent,Non-violent,Non-violent,5.028818422836708,-0.028818422836708102,-0.08
CHEMBL3694221,Cc1ccc(C(=O)Nc2cc(N(C)CCN(C)C)cc(C(F)(F)F)c2)cc1Nc1ncnc2cnc(N3CCSCC3)nc12,10,2,0,5.293920000000004,625.2559123680011,8.3,Violent,1.0,0.0,0.0,2,Violent,Non-violent,Non-violent,8.580156210868934,-0.28015621086893283,-0.77
CHEMBL1822095,COc1n[nH]c2ncc(NC(=O)c3c(F)ccc(NS(=O)(=O)NC(C)C)c3F)cc12,6,4,1,2.1517,440.1078304960005,6.96,Non-violent,0.0,0.0,0.0,0,Non-violent,Non-violent,Non-violent,7.579544645564323,-0.6195446455643232,-1.7
CHEMBL3641025,CCN1CCN(c2ncc3ncnc(Nc4cc(C(=O)Nc5cc(C(C)(C)C)on5)ccc4F)c3n2)CC1,10,2,0,3.9822000000000033,519.2506494200009,9.0,Violent,0.0,0.0,0.0,1,Non-violent,Non-violent,Non-violent,8.649213992633182,0.35078600736681764,0.96
CHEMBL3632722,Cn1c(Nc2cccc(C(F)(F)F)c2)nc2cc(Oc3ccnc(-c4ncc(C(F)(F)F)[nH]4)c3)ccc21,6,2,0,6.931900000000003,518.1289784520005,6.11,Violent,1.0,0.0,0.0,2,Violent,Non-violent,Non-violent,6.770085055029703,-0.660085055029703,-1.81
CHEMBL3263869,COc1ccc(Oc2cc(C)c(-c3csc(NC(=O)c4ccnc(F)c4)n3)c(C)c2)cc1,6,1,0,6.0142400000000045,449.1209407200006,5.0,Non-violent,1.0,0.0,0.0,1,Violent,Non-violent,Non-violent,5.615056057233503,-0.6150560572335033,-1.69
CHEMBL3932389,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(SC)nc4)cc23)c1F,6,2,0,5.007700000000003,502.09448894000064,8.0,Violent,1.0,0.0,0.0,2,Violent,Non-violent,Non-violent,7.7333924920569315,0.26660750794306853,0.73
