LigandID,name,nHBAcc,nHBDon,Lipinski,SLogP,MW,pIC50,predicted_pic50,Residual,StdResidual
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,6,2,1,4.354000000000003,466.2004906920008,8.35,6.535661614596344,1.8143383854036559,3.31
CHEMBL3577114,CNc1cc2c(cn1)cc(-c1ccc(F)c(NC(=O)Nc3cc(C(C)(C)C)no3)c1)c(=O)n2[C@H]1CCOC1,8,3,0,5.135200000000005,520.2234316280008,9.0,6.840903661168841,2.1590963388311586,3.94
CHEMBL4212692,CCCS(=O)(=O)Nc1ccc(F)c(-n2cc(-c3cncnc3)c3nc(N(C)C4CCN(CC)CC4)ccc32)c1F,8,1,0,4.832900000000005,569.238450736001,9.4,7.690016146592538,1.7099838534074623,3.12
CHEMBL1213925,O=C(Nc1ccc(Cl)c(C(F)(F)F)c1)Nc1ccc(OCCN2CCOCC2)c2ccccc12,4,2,0,5.867000000000005,493.13800393600064,9.0,6.713349101257344,2.286650898742656,4.17
CHEMBL2146883,O=C(c1ccc(F)c(F)c1Nc1ccc(I)cc1F)N1CC(O)([C@@H]2CCCCN2)C1,4,3,0,3.781100000000002,531.0630595720006,8.74,6.909615900066701,1.8303840999332994,3.34
CHEMBL605328,O=C(Nc1cccc(Oc2cccc3[nH]c(=O)[nH]c23)c1)c1cccc(SC(F)(F)F)c1,4,3,0,5.5127000000000015,445.0707969680004,8.3,6.657153932037971,1.6428460679620294,3.0
CHEMBL558752,Cn1c(Nc2ccc(C(F)(F)F)cc2)nc2cc(Oc3ccnc(-c4ncc(C(F)(F)F)[nH]4)c3)ccc21,6,2,0,6.931900000000003,518.1289784520005,9.3,7.006421217371489,2.2935787826285114,4.19
CHEMBL72365,O=C1Nc2ccc(I)cc2/C1=C/c1cc(Br)c(O)c(Br)c1,2,2,0,5.014500000000002,518.7966506960001,8.82,6.852508013946981,1.9674919860530196,3.59
CHEMBL1780161,Cn1cc(-c2ccc3c(O)cccc3c2)c(-c2ccncc2)n1,4,1,1,4.007900000000003,301.1215121000004,8.85,7.09157220025757,1.7584277997424298,3.21
CHEMBL3752762,CCCS(=O)(=O)Nc1ccc(F)c(-c2cc3cnc(N)cc3cc2OC)c1F,5,2,1,3.922500000000002,407.11151890800056,9.1,7.205968770099489,1.8940312299005102,3.46
CHEMBL1615182,N#CCNc1ncnc(-n2c(Nc3cccc(O)c3)nc3ccccc32)n1,9,3,1,2.59518,358.1290570680004,8.52,6.497011586518743,2.022988413481256,3.69
CHEMBL475431,Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1NC(=O)c1ccc2nccnc2c1,4,2,0,5.461620000000004,450.1303604440005,9.0,7.053827309504646,1.946172690495354,3.55
CHEMBL1336,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,4,3,0,5.549700000000003,464.0863027120005,9.0,6.781011454260415,2.2189885457395846,4.05
CHEMBL3970406,O=C1CCc2c(Oc3ccc4c(c3)C3C(O4)C3c3nc(-c4ccccc4)c[nH]3)ccnc2N1,5,2,1,4.790700000000004,436.15354050000064,9.14,7.453638473945518,1.6863615260544824,3.08
CHEMBL1089082,O=C(Nc1cccc(-c2ccnc3cc(-c4ccncc4)nn23)c1)c1cccc(C(F)(F)F)c1,5,1,0,5.729400000000002,459.1306947920005,7.49,5.805214261960877,1.684785738039123,3.08
CHEMBL3643284,Cc1ccc(NS(=O)(=O)C(C)C)cc1Nc1ncnc2cnc(N3CCN(C)CC3)nc12,9,2,1,2.3737200000000005,456.2055931360009,7.31,5.472347594595318,1.8376524054046817,3.35
CHEMBL1934513,NC(=O)c1sc2nc(NC3CC3)nc(-c3cc(O)cc(Cl)c3)c2c1N,7,4,1,2.972700000000001,375.0556733680004,8.7,6.785527535986803,1.9144724640131967,3.5
CHEMBL3234743,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1NC(=O)c1ccc(O)nc1,6,3,0,4.366420000000004,527.2144244160007,5.0,6.798411514599768,-1.798411514599768,-3.28
CHEMBL1782177,O=C(c1ccc(F)cc1C(F)(F)F)N1N=C(c2cccnc2)CC1c1ccccc1O,4,1,1,4.936600000000004,429.1100396000004,5.0,6.645933729763118,-1.6459337297631178,-3.0
CHEMBL599236,O=C(Nc1cc(C(F)(F)F)ccc1F)c1cccc(Oc2cccc3[nH]c(=O)[nH]c23)c1,3,3,0,5.058700000000002,431.0893041560004,5.33,6.997401739351866,-1.6674017393518659,-3.04
CHEMBL4459079,COc1n[nH]c2ncc(NC(=O)c3c(F)ccc(/N=N\c4ccc(F)cc4)c3F)cc12,6,2,0,5.0515000000000025,426.1052083160004,5.09,6.794853372346625,-1.7048533723466255,-3.11
CHEMBL524812,O=C(Nc1ccc(Cl)c(C(F)(F)F)c1)Nc1ccc(Oc2ccnc3[nH]c(=O)[nH]c23)cc1-c1ccccc1,4,4,0,7.026700000000003,539.0972017440006,5.19,7.264758049774477,-2.074758049774476,-3.78
